"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"653","1898","304",304,"Conservative",0.150471988508106,3,0.5,0.311204596757644,0.239226349271496,0,0,0.181188076951049,0.0433910113210404,1146,19492,0.738025822573928
"654","1903","304",304,"Conservative",0.207035029998065,3,0,0.290207083413973,0.287981420553513,1,1,0.229188251280436,NA,2353,20668,NA
"655","1890","305",305,"Liberal",0.179841449603624,3,0.333333333333333,0.488391845979615,-0.111155152887882,0,0,0.0340592353798084,0.072805493505419,1760,17660,0.730536940514602
"656","1893","305",305,"Liberal",0.0851478532048783,4,0.25,0.300105808319875,0.214679512167957,1,1,0.253196741368942,0.0770043845912934,1967,17957,0.702983088005011
"657","1907","305",305,"Liberal",0.118226239024211,3,0.5,0.3163966347037,0.19295345163305,0,1,0.224693857522423,0.0228423059225663,695,27219,0.894596726483928
"658","1890","307",307,"Conservative",0.114955160893265,3,0.333333333333333,0.478723404255319,0.209732723755935,0,0,0.0684064411164241,0.0293493150684931,857,22748,0.779041095890411
"659","1893","307",307,"Conservative",0.0540427314620863,3,0.5,0.44268956849602,0.222706325932132,0,0,0.0684206529076714,0.0359953176822527,1107,23870,0.776159198803408
"660","1893","307",307,"Liberal",0.189993697580841,4,0.25,0.290880884277888,0.351578028797208,0,0,0.174119115722112,NA,NA,20627,0.670709501203096
"661","1898","307",307,"Conservative",0.0754825462012321,3,0.25,0.47564681724846,0.278521560574949,0,0,0.0309690396373238,0.11512389303949,3991,24350,0.702397092335651
"662","1907","307",307,"Liberal",0.0539289289289289,5,0.142857142857143,0.326376376376376,0.187312312312312,1,1,0.284585056542847,0.00281168410952182,126,39960,0.891705531876911
"663","1912","307",307,"Liberal",0.209660507491204,3,0,0.276324067385884,0.251345620616539,0,0,0.192037563981173,0.0555267771756455,2787,42917,0.855056582722346
"664","1890","308",308,"Liberal",0.0734849293619444,4,0.25,0.445215472758977,0.206576278424255,1,0,0.101138711320459,0.0520743425973876,1810,28101,0.808475746590713
"665","1893","308",308,"Liberal",0.0706229009568469,5,0.2,0.352037259996198,0.237564159432229,1,0,0.146721506217418,0.0174815048837639,664,31562,0.830950688465893
"666","1890","309",309,"Liberal",0.119707064588954,4,0.25,0.463135289906943,-0.166125213369308,0,0,0.0704639592718458,0.11551724137931,3149,18161,0.666214233308878
